Dte;Barris;SuperficieTotalDelsLocals(MilersMetresQuadrats);ValorCadastral(ValorsCadastralsTotals(MilionsDEuros));ValorDelSol(ValorsCadastralsTotals(MilionsDEuros));ValorDeLaConstruccioMesServeis(ValorsCadastralsTotals(MilionsDEuros));ValorCadastral(ValorsUnitaris(Euros/MetreQuadrat));ValorDelSol(ValorsUnitaris(Euros/MetreQuadrat));ValorDeLaConstruccioMesServeis(ValorsUnitaris(Euros/MetreQuadrat));;;;;;;;;;;
8;53. la Trinitat Nova;305.143;175,4;93,1;82,2;574,7;305,2;269,4;;;;;;;;;;;
8;54. Torre Baró;159.178;85,9;38,3;47,2;539,6;240,5;296,5;;;;;;;;;;;
8;55. Ciutat Meridiana;297.061;136,5;59,3;77,2;459,7;199,6;260,0;;;;;;;;;;;
8;56. Vallbona;101.540;57,1;25,9;29,3;562,4;255,4;288,9;;;;;;;;;;;
9;57. la Trinitat Vella;466.397;255,2;118,3;136,8;547,3;253,6;293,4;;;;;;;;;;;
9;58. Baró de Viver;127.163;72,8;29,1;43,0;572,2;228,5;337,8;;;;;;;;;;;
9;59. el Bon Pastor;1.826.824;923,3;436,8;485,8;505,4;239,1;265,9;;;;;;;;;;;
9;60. Sant Andreu;3.360.912;2.164,5;1.173,7;990,8;644,0;349,2;294,8;;;;;;;;;;;
9;61. la Sagrera;1.761.846;1.079,0;592,1;486,9;612,4;336,1;276,3;;;;;;;;;;;
9;62. el Congrés i els Indians;802.968;517,8;313,6;204,2;644,9;390,5;254,4;;;;;;;;;;;
9;63. Navas;1.190.852;775,4;458,7;316,7;651,1;385,2;265,9;;;;;;;;;;;
10;64. el Camp de l'Arpa del Clot;2.165.377;1.468,4;914,6;553,8;678,1;422,4;255,7;;;;;;;;;;;
10;65. el Clot;1.471.789;1.012,2;604,2;408,0;687,7;410,5;277,2;;;;;;;;;;;
10;66. el Parc i la Llacuna del Poblenou;2.271.034;1.652,3;808,0;844,3;727,5;355,8;371,8;;;;;;;;;;;
