Dte;Barris;SuperficieTotalDelsLocals(MilersMetresQuadrats);ValorCadastral(ValorsCadastralsTotals(MilionsDEuros));ValorDelSol(ValorsCadastralsTotals(MilionsDEuros));ValorDeLaConstruccioMesServeis(ValorsCadastralsTotals(MilionsDEuros));ValorCadastral(ValorsUnitaris(Euros/MetreQuadrat));ValorDelSol(ValorsUnitaris(Euros/MetreQuadrat));ValorDeLaConstruccioMesServeis(ValorsUnitaris(Euros/MetreQuadrat))
;;;;;;;;
BARCELONA;;124.300,7;81.878,8;48.650,9;33.194,8;658,7;391,4;267,1
;;;;;;;;
1;1. el Raval;2.932,0;1.608,5;930,6;676,3;548,6;317,4;230,7
1;2. el Barri Gòtic;2.271,7;1.269,6;759,1;510,5;558,9;334,2;224,7
1;3. la Barceloneta;1.144,7;842,0;433,6;407,3;735,6;378,8;355,8
1;4. Sant Pere, Santa Caterina i la Ribera;2.080,7;945,7;575,2;369,5;454,5;276,5;177,6
2;5. el Fort Pienc;2.296,4;1.673,9;1.034,5;639,5;728,9;450,5;278,5
2;6. la Sagrada Família;3.292,5;2.252,7;1.494,3;758,4;684,2;453,9;230,3
2;7. la Dreta de l'Eixample;7.196,4;5.947,6;3.993,2;1.954,5;826,5;554,9;271,6
2;8. l'Antiga Esquerra de l'Eixample;4.414,9;3.408,8;2.291,2;1.117,6;772,1;519,0;253,1
2;9. la Nova Esquerra de l'Eixample;4.523,5;3.341,0;2.170,6;1.169,1;738,6;479,9;258,5
2;10. Sant Antoni;2.689,4;1.782,6;1.193,1;589,5;662,8;443,6;219,2
3;11. el Poble Sec - Parc Montjuïc;2.663,6;1.528,1;851,3;676,8;573,7;319,6;254,1
3;12. la Marina del Prat Vermell - Zona Franca;4.279,1;2.265,9;1.256,7;1.008,8;529,5;293,7;235,8
3;13. la Marina de Port;1.673,5;935,5;464,9;466,9;559,0;277,8;279,0
3;14. la Font de la Guatlla;624,2;388,8;222,4;166,4;622,9;356,3;266,6
3;15. Hostafrancs;1.144,3;746,8;422,0;324,8;652,6;368,7;283,8
3;16. la Bordeta;1.078,7;663,8;345,7;317,9;615,4;320,5;294,7
3;17. Sants - Badal;1.316,9;783,4;470,1;313,4;594,9;357,0;237,9
3;18. Sants;2.774,2;1.651,5;1.004,4;647,1;595,3;362,1;233,3
4;19. les Corts;4.296,9;3.461,9;2.048,0;1.414,5;805,7;476,6;329,2
4;20. la Maternitat i Sant Ramon;2.583,4;1.777,4;910,7;866,8;688,0;352,5;335,5
4;21. Pedralbes;1.798,2;1.616,6;1.027,1;589,5;899,0;571,2;327,8
5;22. Vallvidrera, el Tibidabo i les Planes;430,9;358,3;225,6;132,6;831,4;523,6;307,8
5;23. Sarrià;2.277,6;1.823,0;1.130,6;692,5;800,4;496,4;304,0
5;24. les Tres Torres;1.762,3;1.480,1;854,4;625,7;839,9;484,8;355,0
5;25. Sant Gervasi - la Bonanova;2.789,2;2.161,1;1.292,1;868,9;774,8;463,3;311,5
5;26. Sant Gervasi - Galvany;5.785,0;4.740,6;3.088,0;1.652,4;819,5;533,8;285,6
5;27. el Putxet i el Farró;2.355,9;1.645,2;1.060,0;585,2;698,3;449,9;248,4
6;28. Vallcarca i els Penitents;1.166,8;808,3;452,8;346,6;692,7;388,0;297,1
6;29. el Coll;400,0;220,8;123,1;97,7;552,0;307,6;244,3
6;30. la Salut;937,0;597,9;344,3;253,5;638,1;367,5;270,6
6;31. la Vila de Gràcia;3.741,0;2.217,7;1.506,2;711,5;592,8;402,6;190,2
6;32. el Camp d'en Grassot i Gràcia Nova;2.319,1;1.559,6;1.031,6;528,0;672,5;444,8;227,7
7;33. el Baix Guinardó;1.488,6;912,0;537,8;374,2;612,7;361,3;251,4
7;34. Can Baró;457,8;287,7;170,3;117,5;628,5;371,9;256,6
7;35. el Guinardó;2.154,4;1.221,3;703,8;517,5;566,9;326,7;240,2
7;36. la Font d'en Fargues;586,7;334,2;169,0;165,1;569,5;288,1;281,5
7;37. el Carmel;1.414,5;693,9;361,2;332,5;490,6;255,4;235,0
7;38. la Teixonera;532,6;278,3;138,4;137,2;522,4;259,8;257,6
7;39. Sant Genís dels Agudells;394,5;217,9;113,0;104,9;552,4;286,5;265,9
7;40. Montbau;568,8;330,3;134,0;196,3;580,6;235,6;345,0
7;41. la Vall d'Hebron;379,7;229,9;114,6;115,3;605,5;301,8;303,7
7;42. la Clota;37,7;12,8;8,9;3,9;338,6;235,7;102,9
7;43. Horta;1.550,0;814,8;420,5;394,3;525,7;271,3;254,4
8;44. Vilapicina i la Torre Llobeta;1.381,5;782,0;433,3;348,6;566,0;313,7;252,4
8;45. Porta;1.408,2;815,1;387,5;427,7;578,9;275,2;303,7
8;46. el Turó de la Peira;638,2;340,7;206,8;133,4;533,9;324,0;209,0
8;47. Can Peguera;63,9;25,2;12,4;12,7;393,7;194,2;199,5
8;48. la Guineueta;855,9;481,7;258,8;222,8;562,9;302,4;260,3
8;49. Canyelles;345,4;193,0;96,7;96,3;558,9;280,0;278,9
8;50. les Roquetes;615,5;285,9;135,7;150,3;464,6;220,4;244,2
8;51. Verdun;539,6;286,4;148,4;138,0;530,8;275,0;255,7
8;52. la Prosperitat;1.191,2;618,0;306,2;309,7;518,8;257,1;260,0
8;53. la Trinitat Nova;306,9;157,3;83,6;73,8;512,7;272,3;240,4
8;54. Torre Baró;123,1;63,1;33,2;29,5;512,4;269,8;239,5
8;55. Ciutat Meridiana;304,2;127,7;55,8;72,0;420,0;183,4;236,6
8;56. Vallbona;103,2;49,3;20,8;26,9;477,7;201,3;260,2
9;57. la Trinitat Vella;454,2;225,8;105,9;119,8;497,2;233,2;263,7
9;58. Baró de Viver;127,2;66,2;26,4;39,0;520,2;207,8;307,0
9;59. el Bon Pastor;1.762,0;809,8;390,8;418,3;459,6;221,8;237,4
9;60. Sant Andreu;3.273,5;1.922,4;1.060,1;862,3;587,2;323,8;263,4
9;61. la Sagrera;1.749,9;974,7;537,1;437,6;557,0;306,9;250,1
9;62. el Congrés i els Indians;803,5;470,6;285,2;185,5;585,8;354,9;230,8
9;63. Navas;1.173,1;698,7;416,5;282,2;595,6;355,0;240,6
