Dte;Barris;SuperficieTotalDelsLocals(MilersMetresQuadrats);ValorCadastral(ValorsCadastralsTotals(MilionsDEuros));ValorDelSol(ValorsCadastralsTotals(MilionsDEuros));ValorDeLaConstruccioMesServeis(ValorsCadastralsTotals(MilionsDEuros));ValorCadastral(ValorsUnitaris(Euros/MetreQuadrat));ValorDelSol(ValorsUnitaris(Euros/MetreQuadrat));ValorDeLaConstruccioMesServeis(ValorsUnitaris(Euros/MetreQuadrat))
10;64. el Camp de l'Arpa del Clot;2.148,5;1.316,1;829,2;486,9;612,6;386,0;226,6
10;65. el Clot;1.471,2;917,9;549,5;368,4;623,9;373,5;250,4
10;66. el Parc i la Llacuna del Poblenou;2.190,0;1.435,4;722,2;713,1;655,4;329,8;325,6
10;67. la Vila Olímpica del Poblenou;1.227,4;908,1;482,6;425,4;739,9;393,2;346,6
10;68. el Poblenou;2.170,8;1.388,5;779,8;608,7;639,6;359,2;280,4
10;69. Diagonal Mar i el Front Marítim del Poblenou;1.689,6;1.335,4;584,3;751,1;790,4;345,8;444,6
10;70. el Besòs i el Maresme;1.063,1;634,0;309,1;324,7;596,3;290,8;305,4
10;71. Provençals del Poblenou;1.441,9;990,2;574,9;410,9;686,7;398,7;285,0
10;72. Sant Martí de Provençals;1.376,9;788,3;432,1;356,2;572,5;313,8;258,7
10;73. la Verneda i la Pau;1.603,8;862,6;464,0;397,0;537,9;289,3;247,6
;NC;92,1;70,6;43,2;27,4;-;-;-
