DTE;BARRIS;MITJANA
1;1. el Raval;2290
1;2. el Barri Gòtic;2885
1;3. la Barceloneta;4008
1;4. Sant Pere, Santa Caterina i la Ribera;3188
2;5. el Fort Pienc;3042
2;6. la Sagrada Família;3088
2;7. la Dreta de l Eixample;
2;8. l Antiga Esquerra de l Eixample;3378
2;9. la Nova Esquerra de l Eixample;3082
2;10. Sant Antoni;2956
3;11. el Poble Sec-AEI Parc Montjuïc;2378
3;12. la Marina del Prat Vermell-AEI Zona Franca;
3;13. la Marina de Port;2283
3;14. la Font de la Guatlla;
3;15. Hostafrancs;2641
3;16. la Bordeta;2360
3;17. Sants-Badal;2785
3;18. Sants;2553
4;19. les Corts;3652
4;20. la Maternitat i Sant Ramon;3512
4;21. Pedralbes;4994
5;22. Vallvidrera, el Tibidabo i les Planes;
5;23. Sarrià;4417
5;24. les Tres Torres;4406
5;25. Sant Gervasi-la Bonanova;3828
5;26. Sant Gervasi-Galvany;3921
5;27. el Putxet i el Farró;3339
6;28. Vallcarca i els Penitents;3095
6;29. el Coll;2486
6;30. la Salut;2832
6;31. la Vila de Gràcia;3062
6;32. el Camp d en Grassot i Gràcia Nova;2972
7;33. el Baix Guinardó;2510
7;34. Can Baró;
7;35. el Guinardó;2672
7;36. la Font d en Fargues;
7;37. el Carmel;2076
7;38. la Teixonera;2183
7;39. Sant Genís dels Agudells (1);2322
7;40. Montbau;
7;41. la Vall d Hebron;
7;42. la Clota;
7;43. Horta;2585
8;44. Vilapicina i la Torre Llobeta;2332
8;45. Porta;2285
8;46. el Turó de la Peira;
8;47. Can Peguera;
8;48. la Guineueta;
8;49. Canyelles;
8;50. les Roquetes (2);2015
8;51. Verdun;
8;52. la Prosperitat;2102
8;53. la Trinitat Nova;
8;54. Torre Baró;
8;55. Ciutat Meridiana (3);1382
8;56. Vallbona;
9;57. la Trinitat Vella;1887
9;58. Baró de Viver;
9;59. el Bon Pastor;
9;60. Sant Andreu;2558
9;61. la Sagrera;2422
9;62. el Congrés i els Indians;
9;63. Navas;2455
10;64. el Camp de l Arpa del Clot;2637
10;65. el Clot;2612
10;66. el Parc i la Llacuna del Poblenou;2808
10;67. la Vila Olímpica del Poblenou;
10;68. el Poblenou;3294
10;69. Diagonal Mar i el Front Marítim del Poblenou;4248
10;70. el Besòs i el Maresme;2072
10;71. Provençals del Poblenou;2813
10;72. Sant Martí de Provençals;
10;73. la Verneda i la Pau;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
