DTE;BARRIS;MITJANA
1;1. el Raval;3476
1;2. el Barri Gòtic;3754
1;3. la Barceloneta;
1;4. Sant Pere, Santa Caterina i la Ribera;3971
2;5. el Fort Pienc;4084
2;6. la Sagrada Família;4026
2;7. la Dreta de l Eixample;5003
2;8. l Antiga Esquerra de l Eixample;4438
2;9. la Nova Esquerra de l Eixample;4190
2;10. Sant Antoni;3847
3;11. el Poble Sec-AEI Parc Montjuïc;3320
3;12. la Marina del Prat Vermell-AEI Zona Franca;
3;13. la Marina de Port;3253
3;14. la Font de la Guatlla;
3;15. Hostafrancs;3470
3;16. la Bordeta;
3;17. Sants-Badal;3562
3;18. Sants;3838
4;19. les Corts;4459
4;20. la Maternitat i Sant Ramon;4357
4;21. Pedralbes;6128
5;22. Vallvidrera, el Tibidabo i les Planes;
5;23. Sarrià;5469
5;24. les Tres Torres;6298
5;25. Sant Gervasi-la Bonanova;5320
5;26. Sant Gervasi-Galvany;4833
5;27. el Putxet i el Farró;
6;28. Vallcarca i els Penitents;
6;29. el Coll;
6;30. la Salut;
6;31. la Vila de Gràcia;4194
6;32. el Camp d en Grassot i Gràcia Nova;4100
7;33. el Baix Guinardó;3753
7;34. Can Baró;
7;35. el Guinardó;3587
7;36. la Font d en Fargues;
7;37. el Carmel;2836
7;38. la Teixonera;
7;39. Sant Genís dels Agudells (1);3611
7;40. Montbau;
7;41. la Vall d Hebron;
7;42. la Clota;
7;43. Horta;3465
8;44. Vilapicina i la Torre Llobeta;
8;45. Porta;
8;46. el Turó de la Peira;
8;47. Can Peguera;
8;48. la Guineueta;
8;49. Canyelles;
8;50. les Roquetes (2);2707
8;51. Verdun;
8;52. la Prosperitat;3054
8;53. la Trinitat Nova;
8;54. Torre Baró;
8;55. Ciutat Meridiana;
8;56. Vallbona;
9;57. la Trinitat Vella;
9;58. Baró de Viver;
9;59. el Bon Pastor;
9;60. Sant Andreu;3370
9;61. la Sagrera;3363
9;62. el Congrés i els Indians;
9;63. Navas;
10;64. el Camp de l Arpa del Clot;3593
10;65. el Clot;3528
10;66. el Parc i la Llacuna del Poblenou;
10;67. la Vila Olímpica del Poblenou;
10;68. el Poblenou;3961
10;69. Diagonal Mar i el Front Marítim del Poblenou;5417
10;70. el Besòs i el Maresme;2929
10;71. Provençals del Poblenou;3994
10;72. Sant Martí de Provençals;
10;73. la Verneda i la Pau (3);2961
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
