Dte;Barris;SuperficieTotalDelsLocals(MilersMetresQuadrats);ValorCadastral(ValorsCadastralsTotals(MilionsDEuros));ValorDelSol(ValorsCadastralsTotals(MilionsDEuros));ValorDeLaConstruccioMesServeis(ValorsCadastralsTotals(MilionsDEuros));ValorCadastral(ValorsUnitaris(Euros/MetreQuadrat));ValorDelSol(ValorsUnitaris(Euros/MetreQuadrat));ValorDeLaConstruccioMesServeis(ValorsUnitaris(Euros/MetreQuadrat))
;;;;;;;;
BARCELONA;;124.597,70;82.510,80;48.740,10;33.747,00;662,2;391,2;270,8
;;;;;;;;
1;1. el Raval;2.937,50;1.621,00;932,2;687,2;551,8;317,3;233,9
1;2. el Barri Gòtic;2.264,90;1.273,10;757,8;515,3;562,1;334,6;227,5
1;3. la Barceloneta;1.091,40;841,4;432;408,3;770,9;395,8;374,1
1;4. Sant Pere, Santa Caterina i la Ribera;2.122,50;975,4;585;389,4;459,6;275,6;183,5
2;5. el Fort Pienc;2.297,80;1.677,20;1.034,90;642,3;729,9;450,4;279,5
2;6. la Sagrada Família;3.310,10;2.264,10;1.495,30;768,8;684;451,7;232,3
2;7. la Dreta de l'Eixample;7.193,90;5.948,50;3.989,70;1.958,80;826,9;554,6;272,3
2;8. l'Antiga Esquerra de l'Eixample;4.416,10;3.412,10;2.291,60;1.120,50;772,7;518,9;253,7
2;9. la Nova Esquerra de l'Eixample;4.542,00;3.354,90;2.174,00;1.179,70;738,6;478,7;259,7
2;10. Sant Antoni;2.687,10;1.782,20;1.191,40;590,9;663,3;443,4;219,9
3;11. el Poble Sec - Parc Montjuïc;2.672,10;1.526,80;849,5;677,3;571,4;317,9;253,5
3;12. la Marina del Prat Vermell - Zona Franca;3.986,80;2.312,70;1.272,60;1.039,60;580,1;319,2;260,8
3;13. la Marina de Port;1.767,50;999,3;469,6;526,1;565,4;265,7;297,6
3;14. la Font de la Guatlla;621,5;388,1;221,7;166,4;624,4;356,7;267,7
3;15. Hostafrancs;1.154,00;754,2;426,8;327,4;653,6;369,8;283,8
3;16. la Bordeta;1.087,50;679,1;359,6;319,3;624,5;330,6;293,6
3;17. Sants - Badal;1.317,00;783,5;469,8;313,6;594,9;356,7;238,2
3;18. Sants;2.799,40;1.674,00;1.009,60;664,4;598;360,6;237,3
4;19. les Corts;4.294,70;3.451,30;2.043,90;1.408,00;803,6;475,9;327,8
4;20. la Maternitat i Sant Ramon;2.621,80;1.816,80;921,4;895,5;693;351,4;341,5
4;21. Pedralbes;1.802,90;1.620,50;1.028,00;592,5;898,8;570,2;328,6
5;22. Vallvidrera, el Tibidabo i les Planes;438,6;351,1;214,6;136,5;800,5;489,3;311,2
5;23. Sarrià;2.306,80;1.838,80;1.134,40;704,4;797,1;491,8;305,4
5;24. les Tres Torres;1.762,40;1.479,60;853,3;626,3;839,6;484,2;355,4
5;25. Sant Gervasi - la Bonanova;2.785,90;2.163,10;1.292,40;870,7;776,4;463,9;312,5
5;26. Sant Gervasi - Galvany;5.783,60;4.738,80;3.086,50;1.652,10;819,3;533,7;285,7
5;27. el Putxet i el Farró;2.356,60;1.646,50;1.060,20;586,3;698,7;449,9;248,8
6;28. Vallcarca i els Penitents;1.203,90;834;465,3;368,7;692,7;386,5;306,2
6;29. el Coll;403,1;222;123,5;98,5;550,7;306,3;244,4
6;30. la Salut;936,8;597,6;344,2;253,4;637,9;367,4;270,5
6;31. la Vila de Gràcia;3.754,30;2.227,20;1.509,00;718,3;593,3;401,9;191,3
6;32. el Camp d'en Grassot i Gràcia Nova;2.329,40;1.566,60;1.032,60;534,1;672,5;443,3;229,3
7;33. el Baix Guinardó;1.492,40;914,8;538,8;376;613;361;252
7;34. Can Baró;458,5;288,2;170,4;117,8;628,5;371,6;256,9
7;35. el Guinardó;2.155,30;1.221,80;703,7;518,1;566,9;326,5;240,4
7;36. la Font d'en Fargues;585,5;334;168,9;165,1;570,4;288,4;282
7;37. el Carmel;1.432,00;703,3;363,5;339,5;491,1;253,9;237,1
7;38. la Teixonera;545;289,9;143,9;143,3;532;264,1;263
7;39. Sant Genís dels Agudells;396,7;219;113,2;105,8;552;285,3;266,7
7;40. Montbau;570,9;331,5;134,4;197,1;580,6;235,4;345,2
7;41. la Vall d'Hebron;386,3;231,6;115,3;116,3;599,5;298,5;301,1
7;42. la Clota;37,7;12,8;8,9;3,9;338,8;236;102,9
7;43. Horta;1.535,80;806,3;417,2;389,1;525;271,6;253,4
8;44. Vilapicina i la Torre Llobeta;1.383,50;782,6;433,1;349,5;565,7;313,1;252,6
8;45. Porta;1.422,90;822,3;389;433,3;577,9;273,4;304,5
8;46. el Turó de la Peira;638,9;341,2;206,9;133,8;534;323,8;209,4
8;47. Can Peguera;63,9;25,2;12,4;12,7;393,9;194,4;199,5
8;48. la Guineueta;855,9;481,9;258,9;223;563,1;302,5;260,5
8;49. Canyelles;345,4;192,5;96,1;96,3;557,2;278,3;278,9
8;50. les Roquetes;623,1;288;136,3;151,6;462,1;218,8;243,3
8;51. Verdun;541,2;287,5;148,9;138,7;531,3;275;256,2
8;52. la Prosperitat;1.192,10;618,3;306,2;310,1;518,7;256,8;260,1
8;53. la Trinitat Nova;302,2;155,7;82,8;72,9;515,1;274,1;241,1
8;54. Torre Baró;144,4;73;35,7;36,9;505,3;247;255,6
8;55. Ciutat Meridiana;304,2;127,7;55,8;72;420;183,4;236,6
8;56. Vallbona;102,3;49,2;20,7;26,8;481;202,8;261,9
9;57. la Trinitat Vella;453,7;226,8;106,9;119,7;499,9;235,7;263,9
9;58. Baró de Viver;127,2;66,2;26,4;39;520,2;207,8;307
9;59. el Bon Pastor;1.797,20;826,1;394,5;431;459,7;219,5;239,8
9;60. Sant Andreu;3.279,50;1.924,50;1.059,80;864,7;586,8;323,2;263,7
9;61. la Sagrera;1.754,20;978,3;537,6;440,7;557,7;306,5;251,2
9;62. el Congrés i els Indians;803,4;470,9;285,1;185,7;586,1;354,9;231,2
9;63. Navas;1.184,60;700,5;415,8;284,6;591,3;351;240,3
10;64. el Camp de l'Arpa del Clot;2.154,70;1.320,60;829,4;491,2;612,9;384,9;228
10;65. el Clot;1.470,20;917,9;549,5;368,4;624,3;373,8;250,6
10;66. el Parc i la Llacuna del Poblenou;2.252,20;1.489,00;734,3;754,7;661,1;326;335,1
10;67. la Vila Olímpica del Poblenou;1.226,50;908;482,3;425,7;740,3;393,2;347,1
10;68. el Poblenou;2.228,40;1.422,80;783,5;639,3;638,5;351,6;286,9
10;69. Diagonal Mar i el Front Marítim del Poblenou;1.711,00;1.354,20;585,6;768,5;791,5;342,3;449,2
10;70. el Besòs i el Maresme;1.071,10;641,8;312,5;329,2;599,2;291,7;307,3
10;71. Provençals del Poblenou;1.450,10;997,1;576,5;416,2;687,6;397,6;287
